A Family Man	1984	Drama
A Family at War	1970	Drama
A Family at War	1970	War
A Family for Joe	1990	Comedy
A Farewell to Arms	1966	Drama
A Fatal Inversion	1992	Thriller
A Favorita	2008	Drama
A Favorita	2008	Mystery
A Favorita	2008	Thriller
A Febre do Ouro Negro	2000	Drama
A Febre do Ouro Negro	2000	History
A Febre do Ouro Negro	2000	Romance
A Feira	1977	Comedy
A Ferreirinha	2004	Drama
A Ferro E Fogo	2003	Documentary
A Fertile Alternative	2011	Documentary
A Festa Continua	1983	Musical
A Fine Romance	1981	Comedy
A Fine Romance	1981	Romance
A Flame in the Wind	1964	Drama
A Flame in the Wind	1964	Romance
A Floresta Portuguesa	1983	Documentary
A Football Life	2011	Biography
A Football Life	2011	Sport
A Foreign Exchange Love	2014	Comedy
A Fork in Africa	2003	Documentary
A Fork in Asia	2000	Documentary
A Fork in Australia	1999	Documentary
A Fork in the Mediterranean	2005	Documentary
A Fortunate Life	1985	Biography
A Fortunate Life	1985	Drama
A Fortunate Life	1985	History
A Fortunate Life	1985	War
A Fortune Teller Told Me	2011	Documentary
A French Guy Named Saba	2013	Comedy
A Game of Darts	2015	Comedy
A Game of Murder	1966	Thriller
A Game of Soldiers	1984	Drama
A Garota da Moto	2016	Drama
A Gay and a Girl	2015	Comedy
A Generation at War	2014	Documentary
A Generation at War	2014	War
A Gifted Man	2011	Drama
A Gifted Man	2011	Fantasy
A Girl Named Zat	2013	Drama
A God Named Pablo	2010	Action
A God Named Pablo	2010	Comedy
A God Named Pablo	2010	Fantasy
A Grande Mentira	1958	Drama
A Great Welsh Adventure with Griff Rhys Jones	2014	Documentary
A Guerra dos Pintos	1999	Comedy
A Gurls Wurld	2010	Family
A Guy Walks Into a Bar	2011	Comedy
A Guy and a Girl	2002	Comedy
A Gypsy Life for Me	2011	Documentary
A Handful of Songs	1973	Music
A Handful of Thieves	1969	Drama
A Haunting We Will Go	1976	Family
A Haunting in Ravenswood	2014	Mystery
A Haunting	2005	Documentary
A Haunting	2005	History
A Haunting	2005	Horror
A Higher Education	2011	Documentary
A Higher Education	2011	Short
A History of Ancient Britain	2011	Documentary
A History of Art in Three Colours	2012	Documentary
A History of Black Achievement in America	2005	Documentary
A History of Black Achievement in America	2005	History
A History of Britain	2000	Documentary
A History of Britain	2000	History
A History of British Art	1996	Documentary
A History of Celtic Britain	2011	Documentary
A History of Christianity	2009	Documentary
A History of Film	2016	Documentary
A History of Horror with Mark Gatiss	2010	Documentary
A History of Scotland	2008	Documentary
A History of Scotland	2008	History
A History of Tyneside	2006	Documentary
A History of the World	2010	Documentary
A Hollywood Affair	2012	Comedy
A Hora da Liberdade	1999	Action
A Hora da Liberdade	1999	Drama
A Hora do Lecas	1989	Family
A Hora do Mico	2005	Comedy
A Horrorshow	2014	Horror
A Horseman Riding By	1978	Drama
A Hot Mess	2015	Comedy
A House Called Bell Tower	1960	Drama
A House for All Seasons	1983	Family
A Houseful of Plants	1987	Documentary
A Hundred Years of Us	2011	Documentary
